Month,Sales
1960-01,6550
1960-02,8728
1960-03,12026
1960-04,14395
1960-05,14587
1960-06,13791
1960-07,9498
1960-08,8251
1960-09,7049
1960-10,9545
1960-11,9364
1960-12,8456
1961-01,7237
1961-02,9374
1961-03,13424
1961-04,15597
1961-05,15795
1961-06,16205
1961-07,12143
1961-08,9885
1961-09,8724
1961-10,10163
1961-11,9693
1961-12,8895
1962-01,8014
1962-02,10769
1962-03,15746
1962-04,18136
1962-05,17180
1962-06,17233
1962-07,12178
1962-08,10994
1962-09,9673
1962-10,11448
1962-11,10041
1962-12,9564
1963-01,8724
1963-02,11697
1963-03,16997
1963-04,18900
1963-05,19800
1963-06,19100
1963-07,14000
1963-08,11400
1963-09,10500
1963-10,12100
1963-11,11000
1963-12,10200
1964-01,9500
1964-02,12900
1964-03,18200
1964-04,21300
1964-05,22100
1964-06,21400
1964-07,15200
1964-08,12800
1964-09,11400
1964-10,13900
1964-11,12600
1964-12,11700
1965-01,10800
1965-02,14400
1965-03,20500
1965-04,23800
1965-05,24300
1965-06,23100
1965-07,16900
1965-08,14200
1965-09,13000
1965-10,15600
1965-11,14200
1965-12,13100
1966-01,11900
1966-02,15800
1966-03,22000
1966-04,25300
1966-05,25900
1966-06,24700
1966-07,17900
1966-08,15100
1966-09,13900
1966-10,16800
1966-11,15200
1966-12,14000
1967-01,12700
1967-02,16900
1967-03,23500
1967-04,26800
1967-05,27300
1967-06,26100
1967-07,19000
1967-08,16000
1967-09,14800
1967-10,17900
1967-11,16200
1967-12,15000
1968-01,13800
1968-02,18300
1968-03,25500
1968-04,28900
1968-05,29500
1968-06,28200
1968-07,20400
1968-08,17200
1968-09,15900
1968-10,19200
1968-11,17400
1968-12,16100
